user,holdDuration,holdAvgBalance,holdLastBalance,holdWeight,pancakeWeight,finalWeight,token
0xa4aa2626993930a7d7c7c032aeb6de2a4c73bf46,864000,297450.353410855596164263,297450.353410855596164263,2974503.534108555961642608,0,2974503.534108555875718594,6390.617355456286356896
0x4e6152d1b627cc2f5cfdfd9c9df62b8bb781b864,864000,254715.450237755682171180,265035.350660037139035494,2547154.502377556821711779,0,2547154.502377556636929512,5472.472828915645515757
0xbf8f6b554d0910674a950c82b1d9fe230f0ae2f3,864000,251535.585173837365896332,289362.482928918409799659,2515355.851738373658963308,0,2515355.851738373748958111,5404.154534341571244360
0x3e499ae3d6650636869a4efc80ed64bab20ec534,864000,203785.475209621150065510,203785.475209621150065510,2037854.752096211500655080,0,2037854.752096211537718773,4378.260034761764566529
0x88eaefa1c2e797d40211de1a8773f86e318dd8b4,864000,149730.064698153153336206,159699.088522133761803712,1497300.646981531533362049,0,1497300.646981531521305442,3216.898346635781251960
0xf301bec395546c22b426ca2909e1bc7d9bc6382f,864000,109731.606836254075223736,109731.606836254075223736,1097316.068362540752237334,657.324475889564156719,1097973.392838430358096957,2358.957634321781015918
0x915579036b62ee9f6347a0b8cd145c562867df2b,864000,102519.476037310699766625,102519.476037310699766625,1025194.760373106997666229,0,1025194.760373107041232288,2202.595274551158713267
0x644ca4c761db8d6b1d9b2cb79d9604d197a561a5,864000,90000.725244577884480482,90000.725244577884480482,900007.252445778844804800,0,900007.252445778809487820,1933.634269236209932634
0x5ebe7111b4855881da56c1091c17319ab4965919,864000,89266.137283883101526452,89266.137283883101526452,892661.372838831015264499,0,892661.372838831041008234,1917.851902475189455116
0x5665493d4f3c0ef0d9a549b8d2eca1b51a9cd7e1,713953,99945.938614462328606328,99945.938614462328606328,825887.762865870635364263,0,825887.762865870608948171,1774.391124605393723782
0x42de065c7ddc9293f3bf17f06bcce01512daef03,864000,80478.916979513428814071,80478.916979513428814071,804789.169795134288140686,0.000000000000000000,804789.169795134337618947,1729.061531445584028740
0xa42e560d95c86eddbd3de483129e4fcd9729b004,864000,73338.364697810597227096,73338.364697810597227096,733383.646978105972270942,0,733383.646978106000460684,1575.649249981716269799
0x252bea6e56a8c070e7cfcae3bfa5b2687b65c177,864000,69093.612334527783891462,69151.667898037068807407,690936.123345277838914602,0,690936.123345277854241431,1484.452222271547661987
0xa74e3b7346fdbbc17c2a1fa7aa5d436cf3730b20,864000,62983.955194288992957286,62983.955194288992957286,629839.551942889929572841,0,629839.551942889927886426,1353.188364257679509852
0xb6a13fa6f23e7402ef62c644746fabf4004434de,864000,52440.697823457269353760,52440.697823457269353760,524406.978234572693537580,0,524406.978234572685323656,1126.670147807577137989
0x064727a0d5a99be07b8eb3112c6f792798921bed,864000,33908.569977932993062373,42766.911385225426266056,339085.699779329930623712,0,339085.699779329937882721,728.513828660235605317
0x620597b2f681d5fe82e6e16baba6fdbb6beaee07,864000,29436.320691779533471844,29436.320691779533471844,294363.206917795334718418,0,294363.206917795352637768,632.429108711887332546
0xf97b6293a956b0ba5348bb684eed32c4c21e0ed3,864000,27997.273097591601416347,23161.427938962754140545,279972.730975916014163458,0,279972.730975916027091444,601.511671817662449921
0x31d55c6ebc1b2b4fcf5b9c33362bbe39f8f4067f,864000,24295.297813742067141791,24295.297813742067141791,242952.978137420671417891,0,242952.978137420665007085,521.976020818581633588
0x0df6abbbd058f3e7c9090721c8af30cd8c52ba74,864000,20106.234838243592912995,20106.234838243592912995,201062.348382435929129930,0,201062.348382435942767188,431.975460229760764204
0x138b3885c2f15680ac99b0fd139731b1fb6ba56a,864000,19729.321149863063948937,19729.321149863063948937,197293.211498630639489348,0,197293.211498630640562624,423.877600769003600343
